segment_id,point_id,event,spray_on,u,v,x,y,z,note
8,23,SURFACE_SCAN,1,-146.903601902,-80.3824121277,-16.3973046677,1.2898316349,79.8670852507,central bow scan
8,24,SURFACE_SCAN,1,-151.117611335,-86.5314807191,-16.5447727397,1.63423056275,86.9084256272,central bow scan
8,25,SURFACE_SCAN,1,-155.331620769,-92.6805493104,-16.5897597843,2.02083292959,93.9800456492,central bow scan
8,26,SURFACE_SCAN,1,-159.545630202,-98.8296179018,-18.4085585523,-0.987798270623,97.31529,central bow scan
8,27,SURFACE_SCAN,1,-163.759639636,-104.978686493,-23.1197094907,-6.91664039658,97.31529,central bow scan
9,0,OVERTRAVEL,0,,,-23.1197094907,-6.91664039658,97.31529,3D-only opening connector
9,1,OVERTRAVEL,0,,,-60.4469838852,-53.8918954388,97.31529,3D-only opening connector
9,2,OVERTRAVEL,0,,,-94.8628458564,13.5224336704,97.31529,3D-only opening connector
9,3,OVERTRAVEL,0,,,-34.8733164363,12.4015590319,97.31529,3D-only opening connector
10,0,SURFACE_SCAN,1,-138.680462759,-121.383431271,-34.8733164363,12.4015590319,97.31529,central bow scan
10,1,SURFACE_SCAN,1,-134.513851026,-115.303525246,-24.8938118871,12.2150969332,97.31529,central bow scan
10,2,SURFACE_SCAN,1,-130.347239292,-109.223619222,-23.2849189261,11.9243011271,91.4285370072,central bow scan
10,3,SURFACE_SCAN,1,-126.180627559,-103.143713197,-23.739597429,11.5728551799,84.4237635883,central bow scan
10,4,SURFACE_SCAN,1,-122.014015825,-97.063807173,-24.1942759319,11.2214092327,77.4189901695,central bow scan
10,5,SURFACE_SCAN,1,-117.847404092,-90.9839011486,-24.6489544348,10.8699632854,70.4142167507,central bow scan
10,6,SURFACE_SCAN,1,-113.680792359,-84.9039951242,-25.1036329376,10.5185173382,63.4094433319,central bow scan
10,7,SURFACE_SCAN,1,-109.514180625,-78.8240890998,-25.5855691176,10.099723716,56.44735045,central bow scan
10,8,SURFACE_SCAN,1,-105.347568892,-72.7441830754,-26.1868070162,9.52939271018,49.424167462,central bow scan
10,9,SURFACE_SCAN,1,-101.180957158,-66.664277051,-26.820157214,8.93632216159,42.3533018163,central bow scan
10,10,SURFACE_SCAN,1,-97.0143454248,-60.5843710266,-27.4348143875,8.3245936629,35.3029447549,central bow scan
10,11,SURFACE_SCAN,1,-92.8477336914,-54.5044650023,-28.027866486,7.73310569734,28.1823924309,central bow scan
10,12,SURFACE_SCAN,1,-88.681121958,-48.4245589779,-28.5896718734,7.15724712623,21.0016384593,central bow scan
10,13,SURFACE_SCAN,1,-84.5145102245,-42.3446529535,-29.1501187873,6.58778902132,13.7917927536,central bow scan
10,14,SURFACE_SCAN,1,-80.3478984911,-36.2647469291,-29.6986576985,6.02385266242,6.57968775298,central bow scan
10,15,SURFACE_SCAN,1,-76.1812867577,-30.1848409047,-30.209844713,5.44146436657,-0.624638819542,central bow scan
10,16,SURFACE_SCAN,1,-72.0146750242,-24.1049348803,-30.656612842,4.88209610832,-7.81285193958,central bow scan
