vertex_index,u,v,x,y,z
2399,1072.6881433941628,-480.7202479760516,66.06295013427734,204.72633361816406,1109.9283447265625
2400,1069.5013478733972,-456.81359535974866,86.38487243652344,190.05023193359375,1106.954833984375
2401,1070.172148259305,-454.16672233065435,89.19083404541016,189.3183135986328,1107.520263671875
2402,1064.2013107264095,-452.35491246674127,90.0364761352539,187.21543884277344,1101.723388671875
2403,1076.4866661758556,-453.07881794539605,91.48049926757812,191.05870056152344,1113.3729248046875
2404,1070.7715847682261,-451.50684772799326,92.05044555664062,188.74900817871094,1107.9658203125
2405,1075.9181124960285,-455.7611705417411,88.59261322021484,191.49244689941406,1113.0244140625
2406,1075.2799729759276,-458.4331894622074,85.74797821044922,192.09710693359375,1112.5496826171875
2407,1074.5644825678064,-461.0921066541113,82.96370697021484,192.87655639648438,1111.9461669921875
2408,1082.0046935476976,-454.40375299426967,91.17070007324219,193.47267150878906,1118.482177734375
2409,1081.4653337586512,-457.1202874907583,88.25621032714844,193.76077270507812,1118.2412109375
2410,1080.85739246703,-459.82890750417005,85.3731460571289,194.2281494140625,1117.8680419921875
2411,1080.1730941600324,-462.5269530393597,82.53973388671875,194.88006591796875,1117.3590087890625
2412,1079.404621232663,-465.21068278400116,79.77650451660156,195.7206573486328,1116.7113037109375
2413,1067.6514205527797,-433.39744623256445,110.68781280517578,184.89781188964844,1103.555419921875
2414,1074.1673501609646,-429.46069267086926,116.05301666259766,188.14291381835938,1108.57763671875
2415,1062.9033856189758,-420.43569831377283,123.67924499511719,182.99119567871094,1097.3411865234375
2416,1075.392312546934,-418.14923990727533,128.1555633544922,189.94686889648438,1107.3096923828125
2417,1063.447459306593,-414.88775726078796,129.63580322265625,183.9453582763672,1096.661865234375
2418,1084.5050246577357,-437.6582102050299,109.16056823730469,193.73374938964844,1118.42529296875
2419,1083.7813991119406,-443.3260686273541,103.08557891845703,193.37013244628906,1118.6553955078125
2420,1079.07767324427,-436.50518383896207,109.44377899169922,190.66073608398438,1113.8060302734375
2421,1078.3236735352589,-442.12180179548415,103.36510467529297,190.45578002929688,1113.9171142578125
2422,1073.4697417370212,-435.08014071785635,109.9571533203125,187.72390747070312,1108.8516845703125
2423,1072.6910376836051,-440.6429251253433,103.88723754882812,187.6739044189453,1108.8499755859375
2424,1066.8527885273945,-438.9128034132438,104.6384506225586,184.99957275390625,1103.4481201171875
2425,1079.7743539310175,-430.8279795560979,115.5475082397461,191.18328857421875,1113.4560546875
2426,1086.4807016862158,-420.4307438988783,127.39918518066406,196.28094482421875,1116.6314697265625
2427,1043.7400417968317,-499.42427243319963,59.094390869140625,225.02072143554688,1080.83251953125
2428,1059.4239943010634,-479.4751021668806,66.57770538330078,203.91026306152344,1096.5362548828125
2429,1071.1880909948652,-483.16035189609,64.50672912597656,206.81910705566406,1108.3670654296875
2430,1082.2577752516174,-486.3753395162418,63.373146057128906,209.88548278808594,1119.44384765625
2431,1085.086971594537,-481.2054852203779,66.9697036743164,205.96737670898438,1122.3416748046875
2432,1083.7261964593524,-483.82910427070277,65.03136444091797,207.8388214111328,1120.956298828125
2433,1079.6676334537724,-479.7955314432849,67.29109954833984,204.34027099609375,1116.9608154296875
2434,1074.0771331533488,-478.23534349996083,67.8714599609375,202.78004455566406,1111.3831787109375
2435,1063.6576344007774,-472.2382386167963,71.66958618164062,197.91964721679688,1101.00927734375
2436,1052.3349963070136,-465.70656312190675,76.32424926757812,193.09616088867188,1089.7418212890625
2437,1053.4874472200154,-463.21758548149774,78.47483825683594,191.4187469482422,1090.98193359375
2438,1084.8664486340492,-466.4768114937348,79.56687927246094,197.69415283203125,1121.9605712890625
2439,1085.605992654569,-463.73706373363257,82.39098358154297,196.97979736328125,1122.51123046875
2440,1086.2634426471602,-460.98440366553905,85.27471923828125,196.465576171875,1122.9150390625
2441,1086.8482196373075,-458.2234503544202,88.19595336914062,196.14590454101562,1123.176025390625
2442,1087.3683762198993,-455.4579885469471,91.13530731201172,196.0141143798828,1123.2987060546875
2443,1064.8361204322377,-449.7083002111954,92.86618041992188,186.52008056640625,1102.25537109375
2444,1071.313085231292,-448.831548868642,94.9523696899414,188.326904296875,1108.3021240234375
2445,1077.0000989268576,-450.3827454485295,94.40079498291016,190.77479553222656,1113.610107421875
2446,1082.4986863299553,-451.6768728551042,94.1063232421875,193.3366241455078,1118.610107421875
2447,1087.841759144309,-452.68491247257805,94.08313751220703,196.03611755371094,1123.3072509765625
2448,1092.6141018003043,-456.19474038050146,91.38865661621094,198.70620727539062,1127.8275146484375
2449,1092.1001504255012,-459.0301326268951,88.42622375488281,198.67062377929688,1127.8338623046875
2450,1091.531061377506,-461.8633762926029,85.467041015625,198.83168029785156,1127.696044921875
2451,1090.8963254820546,-464.69015130109057,82.53173065185547,199.19735717773438,1127.4083251953125
2452,1090.182897333305,-467.5043171826971,79.64410400390625,199.77517700195312,1126.9654541015625
2453,1086.3328952665952,-478.53773517183964,69.15498352050781,204.29273986816406,1123.583984375
2454,1080.9245813060052,-477.2021159896527,69.39840698242188,202.6087646484375,1118.25390625
2455,1082.0708286177965,-474.56814517500965,71.7119140625,201.0722198486328,1119.4051513671875
