sample_index,face_index,u,v,x,y,z
3301,23298,50.46608251418597,9.455969512113644,17.346081035962996,6.011236489813702,-0.9228534995063369
3302,21521,40.6137178751043,16.670104102932353,14.757410337087991,10.887215514584001,-9.84714360972743
3303,29822,24.563280272286686,-3.656451195246871,17.352051226390987,-2.811012408728695,-26.34833344915379
3304,5551,33.25924829561055,6.343244482613748,-17.648888434320746,4.955267496812285,-6.418007160984071
3305,13208,-29.86469222523003,24.074056232777163,-0.09106215989905035,18.896267541350724,-76.5334414896233
3306,28455,27.508220723768225,5.5130797427552025,17.467785679242397,3.6191213313936523,-23.48813184530495
3307,26027,46.404467271739755,-9.339037153793992,17.309121074696144,-6.056353586272149,-4.9187591762012985
3308,19728,41.40863003533557,21.393980815326625,11.633752381518267,14.176212966896884,-8.058187836214678
3309,18526,-37.285925652637566,22.509072401611114,5.547969897597798,19.129241691245,-84.55425421477983
3310,30535,13.63203792570154,0.9356614408310879,15.339459027901322,0.4362558449786726,-36.57723035712302
3311,16371,-1.8616077218897433,-24.780437435426478,-3.458981328370764,-18.356091193207,-46.69500273162384
3312,9968,17.342812388180615,-18.826511485958463,-13.864722450819187,-12.820959289498802,-24.1312843535557
3313,29533,15.195326552482443,9.550923360844022,14.656931771070665,6.61888060694274,-34.78682995348156
3314,12442,40.18058920091899,25.2564699699587,-4.716697529362378,17.72171155945365,-3.6642865276239363
3315,27935,30.982559566738445,-8.940370292364296,16.95049303662213,-6.299062923969084,-19.90126891604224
3316,1638,8.452075257784772,5.441798565755364,-19.760505441189053,3.9884971946581524,-31.638466197785192
3317,21147,-14.101858141185035,-17.718590384154517,3.1035254679871365,-13.548924382823163,-61.78554437596345
3318,21955,47.31856397871746,15.709853753605913,15.282256704596472,10.136003065546959,-3.412281060670078
3319,26396,-0.1610450067356091,9.292813948200184,9.01059803790529,6.055700737075874,-49.1060844686681
3320,13090,-50.60191974637353,20.16203101782113,-11.757961083988118,13.959653103294489,-91.97875278889131
3321,30550,15.346877759670985,2.512573250397461,15.768776404495497,1.646235170545414,-35.02349227587482
3322,24582,26.386278056174035,-19.881065783941,11.368412333023864,-14.011596340968916,-22.60405762537504
3323,28946,13.675226673798683,11.298400867447748,13.71919413111354,7.8610503777008045,-36.03510166143548
3324,22973,-35.08238024209962,-17.98848185305101,7.91003857281901,-16.24140366588956,-83.16816959786229
3325,20187,46.27416302393772,20.33798963034125,12.694615726227894,13.231755805981521,-3.5324162711740446
3326,21880,25.138187973433947,-24.272065605408073,6.39517913412676,-17.014988003666772,-22.16005645497044
3327,530,-4.156815564068863,-1.1554296695501436,-21.960286550350773,-0.6953258559218409,-43.82053736136545
3328,10025,-7.348266840600596,-23.74990440770621,-12.044581909895626,-17.60184236965383,-49.908157107191585
3329,3847,-18.69457841482939,-19.526758541134118,-18.869941206528832,-15.002312011845786,-59.43609494180184
3330,14348,40.80884248351023,-25.404791578613413,-5.9535679619059865,-17.344541855642586,-2.3651995007372446
3331,14778,4.412582186219271,25.729522342319786,-4.221011833177268,18.520741701324294,-40.3696471089787
3332,11727,-36.4123778231179,23.633134934570837,-13.144233680852508,16.877182888182972,-78.85907967645537
3333,460,-13.12521649319101,8.412568532499312,-22.166460852999087,6.174643926659755,-52.9882191044056
3334,28043,24.14037062560016,10.660820949931653,16.052001273186008,7.305829426821704,-26.294219486270475
3335,28718,18.75248296852963,-13.547367056225477,13.829140923429954,-10.051899084371474,-30.949965006581834
3336,23154,38.44183351130661,-17.908877604840445,13.87299558990846,-11.993654941049822,-11.461355291764924
3337,16893,3.418007236610307,-25.38975235913198,-4.880387751960868,-18.526608240630313,-40.73396460529753
3338,26739,-1.8572105025749048,-6.268117844874427,8.731099796630316,-4.5874644738859915,-50.87607091785685
3339,29657,22.9676374249228,7.090169400270337,16.74182823720145,4.864938259752212,-27.73379729673744
3340,3819,15.741410788147434,15.620127876347471,-15.55737987807416,11.077458401274047,-25.523780628431457
3341,5123,-0.6993303336298704,20.44852959900966,-15.224061968673924,14.958868979256867,-42.39769793525345
3342,24963,-25.5495080889132,6.272560047246691,6.1822092691362585,4.053032979324134,-76.22893581895133
3343,18572,-9.930169053857792,22.339887978662894,1.0431213113478532,16.572441939088854,-56.80003897398653
3344,3929,-37.062586051741555,14.31400352240418,-19.2862507864968,10.322968674517314,-76.8319140573485
3345,10367,11.489263256228824,24.7567030305972,-7.704673261677036,17.59383570343347,-32.09001325379053
3346,30083,17.748520976959366,-8.741505342594543,15.337823115153865,-6.506997916458596,-32.38153314868735
3347,21288,-8.3091944669143,18.816773750180754,3.70502570467473,13.233100347220908,-56.17782264663982
3348,27012,33.30152609273261,-10.004996394249467,16.82182596950136,-6.939886398766305,-17.568256480247186
3349,8870,-24.237221652086614,24.967055290726396,-11.232245175742372,17.737958932804805,-67.54073260000013
3350,7944,-36.3679341401665,20.466523080204897,-17.296237152463327,15.483675291541545,-77.69048357581329
3351,27800,1.1559587935397946,7.397497011120732,9.893406847691576,4.749708931011573,-47.87689930221372
3352,3198,-25.259490405170435,-13.476706417980445,-21.317492747963403,-9.889804281884253,-65.00340718605561
3353,9716,-46.48962738447409,-13.240979980175561,-15.487232747173463,-9.286431910928892,-85.24736452316263
3354,5584,33.55128713768372,-2.0782121565482417,-18.301776764297458,-1.1666473018352486,-5.856357072940644
3355,12936,34.481526146942024,25.819588437365482,-3.321828181626773,18.033153979072083,-9.963828167603364
3356,3327,-0.12322566509408142,18.859717489092844,-16.42827580525625,13.692664717262288,-41.52624985512371
