global_point_id,trajectory_id,trajectory_type,point_id,surface_x,surface_y,surface_z,surface_u,surface_v,normal_x,normal_y,normal_z,nozzle_x,nozzle_y,nozzle_z,spray_dir_x,spray_dir_y,spray_dir_z,qx,qy,qz,qw,speed,cumulative_time,spray_on
28,15,spray,0,-0.00306999083863019,0.023473432497230294,-0.2853624721661931,-0.002239638848,0.024415918174,-0.1313457103262388,0.38217043080706714,0.9147098262266764,-0.13441570116486898,0.4056438633042974,0.6293473540604833,0.1313457103262388,-0.38217043080706714,-0.9147098262266764,-0.8780849004654389,0.43165011373557943,-0.1463911612419125,-0.14565271984040049,50.0,0.07955658568462232,1
29,15,spray,1,-0.09912279657822252,-0.01888189685521072,-0.26707890594591044,0.096173162747,0.006133629634,0.3698909154910124,-0.12476109849447971,0.9206602950815636,0.27076811891278985,-0.14364299534969044,0.6535813891356531,-0.3698909154910124,0.12476109849447972,-0.9206602950815636,-0.8638413624330267,0.46271832478370045,0.19642011648232405,-0.03299985303434755,50.0,0.09321641393535396,1
30,16,transition,0,-0.09912279657822252,-0.01888189685521072,-0.26707890594591044,0.096173162747,0.006133629634,0.3698909154910124,-0.12476109849447971,0.9206602950815636,0.27076811891278985,-0.14364299534969044,0.6535813891356531,-0.3698909154910124,0.12476109849447972,-0.9206602950815636,-0.8756710898052229,-0.43992077698162313,0.14006525900451847,0.14160358639249018,50.0,0.09321641393535396,0
31,16,transition,1,-0.0991141578508952,-0.019963565127262533,-0.2670864388700607,0.096119570819,0.004006046601,0.40582621662808155,-0.07164847279655386,0.9111375188429346,0.3067120587771863,-0.09161203792381639,0.6440510799728738,-0.40582621662808155,0.07164847279655387,-0.9111375188429346,-0.8707156491751809,-0.4443231005731197,0.16823706452793374,0.1269942152129639,50.0,0.09449547830220445,0
32,17,spray,0,-0.0991141578508952,-0.019963565127262533,-0.2670864388700607,0.096119570819,0.004006046601,0.40582621662808155,-0.07164847279655386,0.9111375188429346,0.3067120587771863,-0.09161203792381639,0.6440510799728738,-0.40582621662808155,0.07164847279655387,-0.9111375188429346,-0.531369633951282,-0.8204968443180923,0.08207487990852705,0.19415188556007792,50.0,0.09449547830220445,1
33,17,spray,1,0.006959092858123541,0.02363252719724806,-0.2820959721339129,-0.013482487498000004,0.024366979551,-0.009867574828357798,0.4673441712226505,0.8840203937643185,-0.0029084819702342567,0.49097669841989855,0.6019244216304056,0.009867574828357798,-0.4673441712226505,-0.8840203937643185,-0.4851086457630558,-0.8406424916027582,0.20598637039978443,-0.12473739746909729,50.0,0.10771741719648761,1
34,18,transition,0,0.006959092858123537,0.02363252719724803,-0.28209597213391285,-0.013482487498,0.024366979551,-0.009867574828357798,0.4673441712226505,0.8840203937643185,-0.002908481970234261,0.4909766984198985,0.6019244216304056,0.009867574828357798,-0.4673441712226505,-0.8840203937643185,-0.9246287857691923,0.29507932053796726,-0.07803919995792925,-0.22781502669439319,50.0,0.10771741719648761,0
35,18,transition,1,0.017204362754248716,0.022260479356727748,-0.28184033136100134,-0.024725336148,0.024318040927,0.08504844426738625,0.3992088565519324,0.9129069235021695,0.10225280702163497,0.42146933590866015,0.6310665921411682,-0.08504844426738625,-0.3992088565519324,-0.9129069235021696,-0.9282011065165806,0.30805221572402325,-0.023019997564938995,-0.20740447912478996,50.0,0.11030503666215706,0
36,19,spray,0,0.017204362754248716,0.022260479356727748,-0.28184033136100134,-0.024725336148,0.024318040927,0.08504844426738625,0.3992088565519324,0.9129069235021695,0.10225280702163497,0.42146933590866015,0.6310665921411682,-0.08504844426738625,-0.3992088565519324,-0.9129069235021696,-0.8269091225420664,0.5221826929416511,-0.07221084290125238,-0.19578593518535975,50.0,0.11030503666215706,1
37,19,spray,1,-0.0991587490038238,-0.020906514065603732,-0.26736158817289685,0.096065978891,0.0018784635669999994,0.41459201017309794,-0.05407846036689,0.9083991332145669,0.3154332611692741,-0.07498497443249373,0.6410375450416701,-0.414592010173098,0.054078460366890006,-0.908399133214567,-0.8025207737926602,0.5569200788609742,0.1901258887145925,-0.09824754364971647,50.0,0.1211126674513476,1
38,20,transition,0,-0.0991587490038238,-0.020906514065603732,-0.26736158817289685,0.096065978891,0.001878463567,0.41459201017309794,-0.05407846036689,0.9083991332145669,0.3154332611692741,-0.07498497443249373,0.6410375450416701,-0.414592010173098,0.054078460366890006,-0.908399133214567,0.35500121212439784,0.9100404968997213,-0.051334689635739464,-0.20776232341962014,50.0,0.1211126674513476,0
39,20,transition,1,-0.09910469436750217,-0.02186927568010165,-0.2673655401620357,0.096012386964,-0.000249119467,0.3681678659627962,-0.00718591488372733,0.9297315661521256,0.269063171595294,-0.029055190563828978,0.6623660259900899,-0.36816786596279627,0.00718591488372733,-0.9297315661521256,0.3529369126783005,0.9166795071044036,-0.0639222839125357,-0.17620487661623438,50.0,0.12248593135211662,0
40,21,spray,0,-0.09910469436750217,-0.02186927568010165,-0.2673655401620357,0.096012386964,-0.000249119467,0.3681678659627962,-0.00718591488372733,0.9297315661521256,0.269063171595294,-0.029055190563828978,0.6623660259900899,-0.36816786596279627,0.00718591488372733,-0.9297315661521256,0.6600429592286996,0.7274675766305216,-0.12321873768733087,-0.1412492817917243,50.0,0.12248593135211662,1
41,21,spray,1,0.027252838813865938,0.01864623776200571,-0.285810347766518,-0.035968184798000014,0.024269102304,0.1812665322675664,0.3757735377162933,0.9088105922753502,0.20851937108143234,0.394419775478299,0.6230002445088323,-0.1812665322675664,-0.3757735377162933,-0.9088105922753502,0.6320931784618808,0.7448916094839785,-0.20666686125756867,0.05369834560086328,50.0,0.13107770098116683,1
42,22,transition,0,0.02725283881386591,0.01864623776200571,-0.28581034776651787,-0.035968184798,0.024269102304,0.1812665322675664,0.3757735377162933,0.9088105922753502,0.20851937108143231,0.394419775478299,0.6230002445088323,-0.1812665322675664,-0.3757735377162933,-0.9088105922753502,0.8656866437236906,0.45276034611711197,-0.17133987743978515,0.12742586182264692,50.0,0.13107770098116683,0
43,22,transition,1,0.037234518701660016,0.012390074618663358,-0.2890416094810545,-0.047211033448,0.024220163681,0.20724552516084016,0.43141228495830275,0.8780277516615655,0.24448004386250016,0.4438023595769661,0.588986142180511,-0.20724552516084016,-0.43141228495830275,-0.8780277516615655,0.8585106765892265,0.4494143900823507,-0.1979765126556519,0.14761918779726355,50.0,0.13247609559733645,0
44,23,spray,0,0.037234518701660016,0.012390074618663358,-0.2890416094810545,-0.047211033448,0.024220163681,0.20724552516084016,0.43141228495830275,0.8780277516615655,0.24448004386250016,0.4438023595769661,0.588986142180511,-0.20724552516084016,-0.43141228495830275,-0.8780277516615655,0.7169625258712885,-0.6519038367175367,0.07063369987967254,0.23663686232395326,50.0,0.13247609559733645,1
45,23,spray,1,-0.09901429550768444,-0.022931405773721155,-0.2670995648027679,0.09595879503600001,-0.002376702500000001,0.3778240570862486,0.04079778622978104,0.924978120025353,0.2788097615785642,0.017866380456059882,0.657878555222585,-0.37782405708624867,-0.040797786229781044,-0.924978120025353,0.7010935031135959,-0.6862630398794495,-0.12306216703474418,0.14955481614457042,50.0,0.14113279594799916,1
46,24,transition,0,-0.09901429550768436,-0.02293140577372115,-0.26709956480276786,0.095958795036,-0.0023767025,0.3778240570862486,0.04079778622978104,0.924978120025353,0.27880976157856424,0.017866380456059885,0.6578785552225851,-0.3778240570862486,-0.04079778622978104,-0.924978120025353,0.7682562772392035,0.6101404366989921,-0.1637203453777093,-0.1034726461279845,50.0,0.14113279594799916,0
47,24,transition,1,-0.09887701723349254,-0.02419671850170518,-0.2670014121765428,0.095905203109,-0.004504285534,0.39083843079782415,0.10966649542971804,0.9139029383865981,0.2919614135643316,0.08546977692801286,0.6469015262100553,-0.39083843079782415,-0.10966649542971806,-0.9139029383865981,0.7619841328415331,0.6134587602203065,-0.19075604502933283,-0.08161287944600473,50.0,0.14252759777341245,0
48,25,spray,0,-0.09887701723349254,-0.02419671850170518,-0.2670014121765428,0.095905203109,-0.004504285534,0.39083843079782415,0.10966649542971804,0.9139029383865981,0.2919614135643316,0.08546977692801286,0.6469015262100553,-0.39083843079782415,-0.10966649542971806,-0.9139029383865981,0.5927564690908267,0.7781974283845167,-0.16563754963211796,-0.12495092219975258,50.0,0.14252759777341245,1
49,25,spray,1,0.047915960080679554,0.008469305576055033,-0.2886772204904212,-0.05845388209800001,0.024171225057,0.14196264356653035,0.39863799489879836,0.9060542791989163,0.1898786036472099,0.4071073004748534,0.6173770587084951,-0.14196264356653035,-0.39863799489879836,-0.9060542791989163,0.5671869931920439,0.7945602899423218,-0.2084207622491589,0.05944448051771851,50.0,0.1493023535864339,1
50,26,transition,0,0.04791596008067954,0.008469305576055054,-0.2886772204904212,-0.058453882098,0.024171225057,0.14196264356653035,0.39863799489879836,0.9060542791989163,0.18987860364720988,0.40710730047485344,0.6173770587084951,-0.14196264356653032,-0.39863799489879836,-0.9060542791989163,0.18358919639189109,0.9588128840225488,-0.21420274211263546,-0.03301583971322861,50.0,0.1493023535864339,0
