trajectory_index,u,v,x,y,z
25,-110.84853707303213,-80.26329214833169,-89.37720785052369,1148.6060123976647,48.193441916102095
26,-109.74820107613537,-81.65501857076423,-89.42826854158241,1138.0995116804056,48.02511740007873
27,-108.64786507923863,-83.04674499319677,-92.00674360894666,888.304494960815,39.52502547430478
28,-107.54752908234187,-84.43847141562932,-91.99521921618204,937.585907412813,39.83670560552527
29,-106.44719308544512,-85.83019783806186,-91.47286944289908,1129.7318621963223,42.55876057797089
30,-105.34685708854836,-87.2219242604944,-92.03943326271735,1111.1432978596092,39.74899775084562
31,-104.2465210916516,-88.61365068292696,-94.11245711221837,1581.0315611768224,52.523384900789765
32,-103.14618509475486,-90.00537710535951,-94.75955715424297,1643.7684626923256,52.855639666122116
33,-102.0458490978581,-91.39710352779205,-97.44530152540261,635.159096477472,25.938308019467975
34,-100.94551310096134,-92.7888299502246,-97.02853744173348,961.3730225945186,30.16978789122344
35,-99.84517710406459,-94.18055637265715,-95.91758827626003,1311.991462812545,41.44945237396268
36,-98.74484110716783,-95.57228279508969,-97.62372567469133,682.386783874786,24.12673589525124
37,-97.64450511027107,-96.96400921752223,-97.11475046988045,996.988433219179,29.294451681646436
38,-96.54416911337432,-98.35573563995479,-97.74562981986654,747.9940386976992,22.889021426069647
39,-95.44383311647756,-99.74746206238734,-97.78713043773543,797.1549928919795,22.46765827108824
40,-94.3434971195808,-101.1391884848199,-96.54554244641855,1278.7960082329041,35.073721989479516
41,-93.24316112268406,-102.53091490725244,-101.4955952875835,-611.5979762926505,-15.185044977927491
42,-92.1428251257873,-103.92264132968498,-101.87842446567701,-721.1705814518286,-19.071977717336264
43,-91.04248912889054,-105.31436775211753,-99.99424091398798,-587.6082896443774,-15.0814212908366
44,-89.94215313199379,-106.70609417455007,-99.93630826185121,-652.1018728189013,-18.340004375498804
45,-88.84181713509703,-108.09782059698261,-99.18518660664962,-326.835733381413,-11.528172083062946
46,-87.74148113820027,-109.48954701941517,-99.00713834565255,-212.8751704519592,-10.080700977927737
47,-86.64114514130353,-110.88127344184771,-99.01698309437671,-166.86484901762634,-9.980745493035041
48,-85.54080914440677,-112.27299986428027,-98.92551751394264,-130.00118818358996,-10.909411800260784
49,-84.44047314751,-113.6647262867128,-98.99972458266332,-47.32948283475427,-10.155974232250987
50,-83.34013715061326,-115.05645270914536,-99.19830661687693,78.22386537715573,-8.139735516886262
51,-82.2398011537165,-116.4481791315779,-99.2319749106216,147.79824567104407,-7.797895341882505
52,-81.13946515681974,-117.83990555401046,-99.33674415262654,241.20546953254825,-6.73415459239227
53,-80.039129159923,-119.231631976443,-99.39664086831871,307.73901285578216,-6.126012584077924
54,-78.60321922383291,-120.08137032336617,-99.19656186046672,274.04147255324125,-8.157450339060928
55,-77.16730928774282,-120.93110867028933,-99.11068867612417,288.4114350264137,-9.029336054043807
56,-75.73139935165274,-121.7808470172125,-98.97841627572645,284.6783514577161,-10.372321262711532
57,-74.29548941556266,-122.63058536413567,-98.80659698344459,254.90497167217583,-12.116833098926135
58,-72.85957947947257,-123.48032371105884,-98.69634891883663,254.80262533545164,-13.236201308828761
59,-71.42366954338249,-124.330062057982,-98.54324600670734,243.48093361105674,-14.790682408252184
60,-69.98775960729242,-125.17980040490517,-98.4308194163675,244.73551537234658,-15.964737246859077
61,-68.55184967120233,-126.02953875182834,-98.45904293337223,277.7346071646578,-16.02691490715473
62,-67.11593973511225,-126.87927709875152,-98.27524245019147,254.7088205578151,-17.77257897253629
63,-65.68002979902217,-127.72901544567468,-98.18711661927172,271.8857646921796,-18.538475809769654
64,-64.24411986293208,-128.57875379259784,-98.11002457478402,290.0489771610181,-19.40520740234901
65,-62.808209926842,-129.428492139521,-97.83684639048755,293.25565294930584,-20.305755058607513
66,-63.92338656486968,-128.01799498483396,-97.59439147189724,216.89294294162227,-21.105021695682435
67,-65.03856320289736,-126.60749783014693,-97.38693531882704,139.23875018870538,-21.739180233210526
68,-66.15373984092504,-125.19700067545989,-97.18041367968515,58.41504126785197,-22.473101938141063
69,-67.26891647895272,-123.78650352077284,-97.06593613024214,-27.183294654770123,-23.355175057044423
70,-68.3840931169804,-122.3760063660858,-97.14294689974965,-103.58213125677005,-23.617783466594535
71,-69.49926975500809,-120.96550921139877,-97.33581405173247,-200.17474961194858,-24.687258411212838
72,-70.61444639303576,-119.55501205671172,-97.79515649647155,-106.52895918094973,-20.984588021016737
73,-71.72962303106344,-118.14451490202468,-97.91356088323087,-182.56748752320928,-21.183987469658575
74,-72.84479966909112,-116.73401774733763,-97.79016946999151,-313.0972465168318,-22.436802436037567
75,-73.95997630711881,-115.3235205926506,-97.64096288661732,-416.82749315248935,-23.951723416565663
76,-75.07515294514648,-113.91302343796355,-97.66911457660878,-442.9019826594472,-23.66589430071187
77,-76.19032958317416,-112.50252628327651,-97.50141993531345,-547.3370081844105,-25.36852782180445
78,-77.30550622120184,-111.09202912858947,-98.20298027979807,-341.5625047035875,-18.24546085698243
79,-78.42068285922953,-109.68153197390242,-97.85049790680797,-590.4819321331731,-21.824277086358677
80,-79.5358594972572,-108.27103481921539,-97.4806761819914,-797.2694357450903,-25.579142838996756
81,-80.65103613528488,-106.86053766452835,-97.84105030454735,-676.2306633142181,-21.92020027256536
82,-81.76621277331256,-105.4500405098413,-97.45622773047413,-895.2276448173541,-25.82737231592216
83,-82.88138941134025,-104.03954335515425,-96.58243188883188,-1290.465571301976,-34.6991769190941
84,-83.99656604936793,-102.62904620046722,-97.42684578676193,-1748.6314752976505,-46.16936537934239
85,-85.1117426873956,-101.21854904578018,-97.10771629283552,-2501.0227215878663,-62.849600117501076
86,-86.2269193254233,-99.80805189109313,-98.8005627529857,-1633.2412404147349,-40.47170562031742
87,-87.34209596345097,-98.3975547364061,-96.6473270985101,-997.2394808598007,-22.12048568554861
88,-88.45727260147865,-96.98705758171906,-95.93906239335203,1648.1857939774359,41.231421843503426
89,-89.57244923950633,-95.576560427032,-91.30625427730222,3240.508357497225,88.26914668816968
90,-90.687625877534,-94.16606327234496,-88.47609488655243,4338.915259722601,117.0042583858511
91,-91.8028025155617,-92.75556611765792,-93.57330578823337,2407.104016730148,65.25136945486649
92,-92.91797915358937,-91.34506896297088,-95.47121988690877,1739.8930957848038,45.981510027055826
93,-94.03315579161705,-89.93457180828383,-93.70145915893673,2317.747979288394,63.95020548734424
94,-95.14833242964474,-88.5240746535968,-90.94474201253693,3326.3961592275023,91.93964501489434
95,-96.26350906767242,-87.11357749890976,-91.07912284576867,3266.191236513163,90.57525251263166
96,-97.3786857057001,-85.70308034422271,-93.04968102258141,2314.815009052356,70.36505434299482
97,-98.49386234372778,-84.29258318953568,-93.48264350857013,560.1779122150574,28.158822280204788
98,-99.60903898175545,-82.88208603484864,-87.23011343954542,1704.858044887958,54.442649524127745
99,-100.72421561978314,-81.47158888016159,-84.54001340254575,2078.634622624743,64.7493211087528
100,-101.83939225781081,-80.06109172547454,-83.35430948479414,2186.676720947343,68.8700025952224
101,-102.95456889583849,-78.6505945707875,-82.35774074633298,2201.567100080371,71.3335204884178
102,-104.06974553386618,-77.24009741610047,-79.85749686052816,2422.4527620422577,79.57571880756588
103,-105.18492217189386,-75.82960026141342,-87.24470362955618,1362.9785108423675,55.2233651989568
104,-106.30009880992154,-74.41910310672638,-84.15956386148865,1856.8285844472866,65.39370656248252
105,-107.41527544794923,-73.00860595203933,-85.15312927715416,1654.887760924792,62.11836080703224
106,-108.53045208597689,-71.5981087973523,-83.4318907308305,1803.7945345663861,67.7925230493272
107,-109.64562872400458,-70.18761164266525,-86.25690107844817,1316.6380737744344,58.47971333867963
108,-110.76080536203227,-68.77711448797821,-87.36301038880272,1015.7625563876525,54.833360136754294
109,-111.87598200005995,-67.36661733329117,-85.53280895667515,1099.564644482089,60.866724822987564
110,-112.99115863808763,-65.95612017860412,-84.58540913024667,1357.0421679427589,63.98988304818415
111,-114.1063352761153,-64.54562302391709,-83.73569461610066,1103.5841587814152,57.699975869409094
112,-115.22151191414298,-63.13512586923004,-82.96539998360156,924.7123644855883,54.395183862447766
113,-116.33668855217067,-61.724628714543,-81.36887474497809,1013.1769158367852,58.93617913329128
114,-117.45186519019835,-60.31413155985595,-81.83586113878901,983.273354880611,58.041319713097714
115,-118.56704182822602,-58.903634405168916,-81.20563331775853,1000.3729518855997,59.188982114655424
116,-119.68221846625372,-57.493137250481865,-82.40700385021027,865.8990852599386,56.941377096716224
117,-120.79739510428138,-56.08264009579483,-83.57057527080349,763.9951532725281,54.764489206583974
