sample_index,face_index,u,v,x,y,z
76,31,-113.74892630141684,92.91857316844147,-0.7817521502557722,44.05926423836944,99.92300419039388
77,53,-9.616954726216827,-141.8154247139503,-80.44159383578993,114.95999258160128,-58.8535184024808
78,48,-80.4181367121263,-117.33575073385833,-99.01428197573554,107.5964184944869,-10.008170431049837
79,56,20.001971748576164,-139.80005618513718,-66.13082766441761,78.88556417925749,-74.46926277085173
80,16,78.94496016681106,119.74836738749734,99.0696643746816,90.10160932037584,9.445863083625536
81,15,88.75271601635765,111.73992646741986,99.46196388937264,278.69449490328526,5.46277633224361
82,29,-93.77336639527208,104.89833306124638,14.836215781879343,220.3954063715609,98.53876136414465
83,37,-140.74076553994044,9.353964323281216,-57.33894342604729,232.6314502924335,81.68457291725397
84,60,78.06356957826566,-119.56830905367441,-29.213182077378143,139.12741051039015,-95.13480755575156
85,20,21.43706972950503,141.0424162784414,85.14427459339265,176.654854894656,51.82030637652845
86,51,-32.043628173823244,-138.82809747172777,-88.78002044343785,137.58603306296897,-45.01830782922214
87,31,-118.91034428479632,74.79524023779993,-12.423073041794863,236.20224220261866,98.77643500393845
88,1,128.881297332922,-62.22033987306684,23.85194343492424,151.81473238393016,-96.76112175217112
89,63,114.52318397922099,-84.19713567956681,5.930315284843811,131.5184025630684,-99.41591535574715
90,9,136.1217759333378,48.21551703740038,86.3691155663513,242.2316323927963,-49.52879127553689
91,2,135.63381823777172,-49.17582016633303,34.13300819597749,197.10329470853353,-93.64239440382899
92,7,143.290506954582,23.099432287336377,76.26818504806036,269.0927994401916,-63.93883368299048
93,49,-61.07302046393637,-130.26548486662193,-97.09439368276739,247.48182124945131,-22.75329327452373
94,23,-13.147215897995345,139.60191223076077,69.43034680645138,254.1622029849089,71.76141843415495
95,28,-78.33383864844053,123.24042671733116,31.16834165683425,54.906110064436575,94.54171629599006
96,18,52.58347466866538,133.61992917002883,94.76327301243107,121.96150459913777,30.437967149685605
97,58,62.60571739731208,-124.15596717035419,-39.10760911273452,37.49170907838072,-91.93935636212126
98,10,127.81713178830567,63.38503093700176,90.70545594770618,113.87640016468424,-41.41607322781225
99,12,118.8927970172615,79.36654023074556,95.0268896855142,95.69361324717617,-29.56893956716805
100,20,20.90407073017661,143.32725158222107,86.0170692725178,48.55530261642908,50.18742322562501
