vertex_index,x,y,z,geodesic_distance
170,-198.4402161,67.03612518,442.0917053,182.412466
171,-213.9095917,-97.73018646,38.76670074,183.3855856
172,-195.1273041,76.87709045,442.0916748,182.4031738
173,-208.4957581,-108.2903137,-3.810079943e-05,183.4176493
174,-208.4957581,119.3585663,-3.810079943e-05,183.0477054
175,-208.4957428,119.3585663,38.76663971,183.0422419
176,-208.4957123,119.3585663,77.53331757,183.0258905
177,-213.8477478,108.9269562,116.2999573,183.008152
178,-213.9064178,108.7970428,116.2999878,183.0082716
179,-214.8197021,96.45980835,162.8416595,182.9720166
180,-210.9044189,94.80661011,209.3833008,182.9093159
181,-206.9890442,93.15341949,255.9250336,182.8307471
182,-203.0737915,91.50025177,302.4666748,182.7372737
183,-199.1585236,89.84706116,349.0083313,182.630874
184,-195.2432556,88.19386292,395.5499878,182.5148042
185,-191.3279877,86.54064178,442.0916443,182.3937299
186,-214.9284363,-85.13341522,162.8416443,183.2754935
187,-215.1854248,-72.83024597,209.3833313,183.1854932
188,-214.7615051,-60.73048782,255.9250031,183.0758402
189,-213.6777344,-48.87092209,302.4666748,182.9468948
190,-211.9571228,-37.28672791,349.0083313,182.8012569
191,-209.6245422,-26.01143646,395.5499573,182.6441781
192,-206.7065582,-15.0766964,442.0916748,182.48345
193,-194.3797913,65.78096771,488.6333313,182.2889945
194,-197.1405792,55.99108505,488.6333618,182.2960003
195,-199.4099274,46.07573318,488.6333618,182.3025519
196,-201.182251,36.0596199,488.6333618,182.308653
197,-202.453125,25.96759796,488.6333008,182.3143058
198,-203.2193451,15.82476521,488.6333008,182.3195105
199,-203.4789886,5.656362057,488.6333313,182.324266
200,-203.2314606,-4.512339115,488.6333618,182.32857
201,-218.7871246,-86.91190338,116.3000107,183.3200697
202,-213.971405,-97.60169983,116.2999954,183.347058
203,-213.9095764,-97.73018646,77.5333786,183.3714718
204,-191.1345215,75.4210968,488.6333008,182.2815287
205,-208.4957428,-108.2903137,38.76663971,183.4131173
206,-187.4126282,84.88744354,488.6333618,182.2735952
207,-202.5622711,-118.567421,1.876260058e-06,183.4459146
208,-202.5622711,129.6357269,1.876260058e-06,183.0395611
209,-202.5622559,129.6357269,38.76668167,183.0340557
210,-202.5622253,129.6357269,77.53336334,183.0175813
211,-208.4275055,119.4838028,116.3000412,182.9986714
212,-208.49263,119.356987,116.3000259,182.9987792
213,-210.0197296,107.0806427,162.841629,182.9613202
214,-206.1917114,105.2343521,209.3833008,182.89838
215,-202.3636932,103.3880386,255.9250031,182.8196324
216,-198.5356598,101.5417557,302.4666443,182.7261215
217,-194.7076416,99.6954422,349.0083313,182.6199129
218,-190.8796234,97.84912872,395.5500183,182.5043406
219,-187.0516052,96.00284576,442.0916748,182.3841179
220,-183.223587,94.15653229,488.6333618,182.2651846
221,-210.1412048,-95.75997162,162.8417053,183.3033098
222,-211.0111389,-83.48491669,209.3833466,183.2123452
223,-211.1909027,-71.37905121,255.9250031,183.1009618
224,-210.6996155,-59.48022079,302.4666443,182.9692872
225,-209.5585327,-47.82468033,349.0083313,182.8198509
226,-207.7909088,-36.44710541,395.5499878,182.6580792
227,-205.4216461,-25.38052177,442.0916443,182.4922147
228,-202.4774475,-14.65606594,488.6333313,182.3324192
229,-187.1416473,73.96513367,535.1750488,182.1672967
230,-190.3193817,64.52584076,535.1749878,182.1727353
231,-193.0226746,54.93992615,535.1749878,182.1774241
232,-195.2447357,45.23113251,535.1749878,182.1813554
233,-196.9800873,35.42366791,535.1749878,182.1845169
234,-198.224472,25.54190254,535.1749878,182.1868915
235,-198.974762,15.61039734,535.1749878,182.1884577
236,-199.2289734,5.653829098,535.1750488,182.1891888
237,-198.9866943,-4.303037643,535.1749878,182.1890535
238,-213.9064484,-97.72859192,116.3000336,183.3473919
239,-208.5639343,-108.1650543,116.3000107,183.3753773
240,-208.4957123,-108.2903137,77.53331757,183.3993297
241,-183.4973602,83.23425293,535.1749878,182.1611123
242,-202.5622559,-118.567421,38.76668167,183.4415161
243,-179.3955688,92.31024933,535.1750488,182.1541808
244,-196.1237946,-128.5360413,2.847131509e-05,183.4750045
245,-196.1237946,139.6042938,2.847131509e-05,183.0324486
246,-196.1238708,139.6042938,38.76663971,183.0268975
247,-196.1238556,139.6042938,77.53331757,183.0102875
248,-202.4878845,129.75737,116.2999573,182.9901776
249,-202.5592346,129.6339569,116.2999954,182.9902735
250,-204.6962738,117.4489899,162.8416748,182.9515636
251,-200.9650726,115.4141693,209.3833771,182.888313
252,-197.2338409,113.3793564,255.9250336,182.8092762
253,-193.5026093,111.3445435,302.4666748,182.7155683
254,-189.7714081,109.3097305,349.0083618,182.6093361
255,-186.0401917,107.2748871,395.5500183,182.4939949
256,-182.30896,105.2401047,442.0916748,182.3743219
257,-178.5777435,103.2052917,488.6333313,182.256285
258,-174.8465271,101.1704788,535.1749878,182.1464978
259,-204.8302155,-106.134697,162.8416901,183.3322563
260,-206.3109589,-93.91828156,209.3833771,183.2404253
261,-207.0939484,-81.83640289,255.9250031,183.1273402
262,-207.1963501,-69.9278717,302.4666443,182.9928512
263,-206.637619,-58.22992325,349.0083618,182.8393847
264,-205.4393463,-46.77841187,395.5499878,182.6725383
265,-203.6246033,-35.60748672,442.0917053,182.5010431
266,-201.2186584,-24.74960709,488.6333618,182.3358085
267,-198.2483368,-14.23543644,535.1749878,182.1880142
268,-179.5820923,81.58108521,581.7166748,182.0628307
269,-183.1488495,72.50917053,581.7166748,182.0672122
270,-186.2589722,63.2706871,581.7166748,182.0706589
271,-188.9046936,53.88874054,581.7166748,182.0731569
272,-191.0795441,44.38653564,581.7166138,182.0746865
273,-192.7779388,34.78771591,581.7166748,182.0752212
274,-193.9958038,25.11620522,581.7166748,182.0747287
275,-194.7301636,15.39599991,581.7166138,182.0731694
276,-194.9790497,5.651266098,581.7166138,182.0704958
277,-194.7418213,-4.093735695,581.7166748,182.0666525
278,-208.4927216,-108.2885437,116.2999573,183.3757234
279,-202.6365967,-118.4457397,116.3000031,183.4047023
280,-202.5622253,-118.567421,77.53336334,183.4281078
281,-175.5676422,90.46393585,581.7166748,182.0575224
282,-196.1238708,-128.5360413,38.76663971,183.4707594
283,-171.1153107,99.13563538,581.7166748,182.0512897
284,-189.1965179,-138.1713104,1.209629545e-06,183.5048897
285,-189.1965179,149.2395935,1.209629545e-06,183.0263765
286,-189.1965027,149.2395935,38.76668167,183.0207755
287,-189.196579,149.2395935,77.53328705,183.0040171
288,-196.0435181,139.7221069,116.2999954,182.9826761
289,-196.1208954,139.602417,116.3000031,182.98276
290,-198.8627777,127.5391006,162.8416443,182.942749
291,-195.2375336,125.3208237,209.3833466,182.8791136
292,-191.6124115,123.1025772,255.9250336,182.7996733
293,-187.9872589,120.8843002,302.4666443,182.7056047
294,-184.3621368,118.6660233,349.0083008,182.5991306
295,-180.7368927,116.4477463,395.5500183,182.483751
296,-177.1117554,114.2294998,442.0916748,182.3643254
297,-173.4866333,112.0111923,488.6333313,182.2468821
298,-169.861496,109.7929459,535.1749878,182.1380534
299,-166.2362518,107.574646,581.7166748,182.0441295
300,-199.0088043,-116.2318115,162.8416443,183.3623475
301,-201.0966034,-104.1043549,209.3833008,183.2697722
302,-202.4808197,-92.07655334,255.9249725,183.1550373
303,-203.176651,-80.18791962,302.4666748,183.0176651
304,-203.2018127,-68.47667694,349.0083008,182.8599402
305,-202.5757446,-56.97965622,395.5500183,182.6876222
306,-201.3201447,-45.73213959,442.0916443,182.5099714
307,-199.4583893,-34.76786423,488.6333313,182.3387331
308,-197.0157623,-24.11872101,535.1750488,182.1860278
309,-194.0191956,-13.81480598,581.7166138,182.0615759
310,-171.7396088,88.61765289,628.2583008,181.9802209
311,-175.6668243,79.92789459,628.2583008,181.9839265
312,-179.1560669,71.05317688,628.2583008,181.9866518
313,-182.1985779,62.01556396,628.2583008,181.9883858
314,-184.7867889,52.8375206,628.2583008,181.9891062
315,-186.9142761,43.54190826,628.2583618,181.9887871
316,-188.5757904,34.15179443,628.2583618,181.9873968
317,-189.7672577,24.6905098,628.2583008,181.9848963
318,-190.4855804,15.18160152,628.2583008,181.9812393
319,-190.7290192,5.648732662,628.2583008,181.976372
320,-190.4969482,-3.884434223,628.2583618,181.9702294
321,-202.5592651,-118.5655136,116.3000412,183.4050604
322,-196.2041321,-128.4181824,116.3000031,183.4350269
323,-196.1238556,-128.5360413,77.53331757,183.4577895
324,-167.3840942,97.10082245,628.2583618,181.9755434
325,-189.1965027,-138.1713104,38.76668167,183.5008203
326,-162.6111145,105.3563995,628.2583618,181.9698949
327,-181.7975922,-147.4493103,-1.036743106e-05,183.5355376
328,-181.7975922,158.5175629,-1.036743106e-05,183.021354
329,-181.7975616,158.5175629,38.76667023,183.015699
330,-181.7975464,158.5175629,77.53334808,182.9987788
331,-189.1103973,149.353241,116.3000183,182.9761739
332,-189.1937408,149.2375488,116.2999496,182.9762459
333,-192.5334625,137.3259125,162.841629,182.9348796
334,-189.0233002,134.9296875,209.3833466,182.8707823
335,-185.5132751,132.533493,255.9250336,182.7908207
336,-182.0032196,130.1372681,302.4666748,182.6962233
337,-178.4931488,127.741066,349.0083008,182.5892848
338,-174.9829865,125.344841,395.5500183,182.4735943
339,-171.4729462,122.948616,442.0916748,182.3541118
340,-167.9628754,120.5523911,488.6333313,182.2369595
341,-164.4528198,118.1561966,535.1749878,182.1288342
