point_index,u,v,x,y,z,source_geodesic_distance
42090,0.7297939931,0.5421362327,259.1867455,467.1239526,98.07601119,470.4571651
42091,0.7311203625,0.5397202212,267.3446952,470.1953434,100.3061306,470.2708285
42092,0.7305705442,0.540829415,260.3637856,467.567096,102.4825016,470.3742906
42093,0.731283614,0.5395627489,263.6731538,468.8130414,104.6088121,470.281956
42094,0.7306719166,0.5407849082,256.3032465,466.03834,106.6883827,470.3941726
42095,0.732578076,0.5372721913,269.3843715,470.9632601,108.7241403,470.1164968
42096,0.7319327049,0.5385547046,261.8402188,468.122957,110.7187766,470.2332046
42097,0.7326664369,0.5372432768,265.5148135,469.5064068,112.6746613,470.1362323
42098,0.7319657539,0.5386271563,257.609927,466.5302909,114.5939879,470.2608603
42099,0.7334355402,0.5359295381,267.3307828,470.1901012,116.4787082,470.0494159
42100,0.7326953859,0.5373852805,259.1842968,467.1230253,118.3306588,470.1795805
42101,0.7334414366,0.5360460034,263.1154874,468.6030812,120.151467,470.0795602
42102,0.7326512012,0.5375937845,254.6337414,465.409783,121.9426735,470.2169589
42103,0.7345779545,0.5340328793,268.1983498,470.5167301,123.7056474,469.9337905
42104,0.73375799,0.5356346337,259.5397276,467.2568398,125.4417204,470.0753222
42105,0.7192257527,0.5591842005,268.1597803,470.4525316,16.35201106,471.411119
42106,0.7184038456,0.5606465172,265.3990796,469.2597152,12.30126737,471.5350716
42107,0.7205074336,0.5571538748,266.0472893,469.6335349,27.01176405,471.3077648
42108,0.7188413,0.5600052551,263.350588,468.4260121,16.83793955,471.518399
42109,0.7200317061,0.558036051,263.5310878,468.5597735,25.28859919,471.3923787
42110,0.7176480978,0.5620869644,260.4004805,467.1359071,10.24146236,471.6835234
42111,0.723031911,0.553042819,264.7613813,469.2205854,46.06223694,471.0639009
42112,0.7203975596,0.5575111923,261.5241287,467.7398955,29.28152419,471.3825519
42113,0.7220975872,0.5546720617,262.4722929,468.2191333,40.88275378,471.1929061
42114,0.7189610777,0.5599835059,258.8409503,466.5492863,20.75240477,471.5691729
42115,0.7233724552,0.5525715596,262.4494352,468.272145,50.07929345,471.0609738
42116,0.7199225074,0.5584089405,258.5796366,466.4873722,27.85306556,471.473098
42117,0.7218973087,0.5551018412,259.9142046,467.1414013,41.17160474,471.2495325
42118,0.7180473861,0.5616115894,255.7086531,465.1968388,16.29214292,471.7078547
42119,0.7247354427,0.5503586092,261.5845959,467.977985,60.48024119,470.9317
42120,0.720679095,0.557214866,257.2185197,465.9562809,34.22282554,471.413686
42121,0.7229481943,0.5534088435,258.9079748,466.7729022,49.42060876,471.154617
42122,0.7185464563,0.5608460972,254.2420145,464.6090606,20.87878063,471.6766359
42123,0.7243732933,0.5510423722,259.3558896,467.029815,59.38045747,471.0005025
42124,0.7197434557,0.5588631165,254.4971801,464.7743157,29.3263924,471.5488853
42125,0.7222274008,0.5546930037,256.4421796,465.708159,45.8984675,471.2639473
42126,0.7172914122,0.5630289387,251.3125212,463.3245269,13.82299332,471.8478869
42127,0.7265799605,0.5473887554,259.7747852,467.3129625,74.98847545,470.7657161
42128,0.721503297,0.5559610792,254.5293287,464.8740866,41.97828451,471.3658719
42129,0.7242478355,0.5513502819,256.7603528,465.9401208,60.23347927,471.0498919
42130,0.7188907733,0.5603945901,251.2634116,463.3825013,25.37416408,471.6826601
42131,0.7258711091,0.5486436752,257.5542877,466.3512077,71.38633153,470.8703699
42132,0.7203252041,0.5580057202,251.8914422,463.7150634,35.27932399,471.5250534
42133,0.7232501741,0.5530896759,254.3236582,464.8739409,54.69775624,471.1875362
42134,0.7174461144,0.5628863436,248.4272074,462.1276084,16.8897163,471.872274
42135,0.7271534209,0.5465380572,257.347791,466.3279223,80.76075576,470.740239
42136,0.7212112429,0.5565670732,251.3310828,463.5246099,42.03942871,471.4409903
42137,0.7243424384,0.5513025239,253.9835131,464.7855373,62.79398295,471.0789935
42138,0.7181586649,0.561738343,247.7466682,461.8784718,22.48176144,471.8078925
42139,0.7261097901,0.5483493121,255.0114985,465.3014009,74.82603354,470.881245
42140,0.7197618212,0.5590615105,248.6275047,462.3248497,33.43092782,471.6292396
42141,0.7230526095,0.5535272126,251.451621,463.6652803,55.2186151,471.2482808
42142,0.7164777184,0.5646215485,244.8597911,460.590831,12.32996138,472.0227286
42143,0.7292685739,0.5430743643,256.7635612,466.1878127,96.38858651,470.5290043
42144,0.7225960489,0.5543329465,250.0866574,463.0730576,52.85438753,471.3147727
42145,0.726095478,0.5484463444,253.1263204,464.5137081,75.99874894,470.9091492
42146,0.719206918,0.5600687639,246.2506828,461.3053891,31.04324753,471.7201138
42147,0.728046131,0.5451815644,254.3963285,465.1396011,89.18707259,470.6889935
42148,0.721009801,0.55705278,247.3866073,461.8680566,43.2581329,471.5171666
42149,0.7246527104,0.5509237918,250.5773178,463.3788039,67.33355939,471.0945419
42150,0.7174110264,0.5631408809,243.3780556,460.0180571,20.05401644,471.9466744
42151,0.7294073727,0.5429317591,254.5513964,465.2711281,98.88522979,470.5456075
42152,0.7220546855,0.5553357079,247.2522621,461.8632419,50.87387527,471.4106549
42153,0.7258651272,0.5489238633,250.6151918,463.4541045,76.03925209,470.9682371
42154,0.7183157173,0.5616591685,243.1339574,459.9605458,26.73441794,471.8562442
42155,0.7279400334,0.5454477039,252.0538493,464.1564989,90.00826308,470.7328281
42156,0.7202555968,0.5584103892,244.4490841,460.6047454,39.81462075,471.6365738
42157,0.7241983363,0.5517751328,247.9491467,462.2593473,65.8399475,471.1785099
42158,0.716325346,0.5650554307,240.1694318,458.6253072,14.40681645,472.1042676
42159,0.7308055236,0.5406589162,253.7361479,464.9993957,109.5058492,470.4119909
42160,0.7228441106,0.5540880649,245.8768133,461.3277788,57.48981675,471.3480372
42161,0.7269556946,0.5471678427,249.5477257,463.0619887,84.61546956,470.8700633
42162,0.7188122319,0.5609036624,241.5191159,459.3107731,31.40294668,471.8273675
42163,0.7291756304,0.5434457073,251.1640291,463.8456596,99.50870281,470.6171196
42164,0.7209068414,0.5573925987,243.0200728,460.0401419,45.47169159,471.5890414
42165,0.7251413362,0.550264871,246.8169954,461.8329871,73.39721999,471.096551
42166,0.7166970291,0.5645074416,238.5095527,457.9506079,18.20683917,472.0889719
42167,0.730604321,0.5410758623,251.5465828,464.0754628,109.5386489,470.4635485
42168,0.7220647271,0.5554788884,243.1520654,460.1520578,53.72097914,471.4670746
42169,0.7264441556,0.548106567,247.095203,462.0130536,82.59131079,470.9574999
42170,0.717734524,0.5627960501,238.5420529,458.0150822,25.65645319,471.9808885
42171,0.7287751863,0.5441959422,248.849333,462.8597131,98.19132936,470.6910999
42172,0.7175536596,0.5632265068,236.5601591,457.1094828,24.77008787,472.0410753
42173,0.719201698,0.560465041,237.921027,457.7483324,35.58256776,471.8530316
42174,0.7203200589,0.5587866725,236.2974155,456.9973253,43.02695045,471.7849748
42175,0.7212706753,0.5568544201,241.5027169,459.4215047,49.07804505,471.573163
42176,0.7220498197,0.5557690016,239.2791735,458.3902683,54.31032741,471.5512886
42177,0.7227716486,0.5544513291,241.2840613,459.3252616,58.98692117,471.4359889
42178,0.723398882,0.5536786356,238.1773017,457.8827335,63.25438287,471.4491642
42179,0.7240294706,0.5522800218,243.152235,460.1986195,67.2044091,471.2730756
42180,0.7245665252,0.5516922435,239.5306503,458.5163443,70.89872578,471.3068358
42181,0.7251096764,0.5506344633,241.9024717,459.6213325,74.38143135,471.1998954
42182,0.7255835797,0.5501958423,237.6642615,457.6520659,77.68514158,471.2540584
42183,0.7261109514,0.5487454343,245.4811008,461.2892096,80.83499245,471.0213121
42184,0.7265391633,0.5484046305,240.9283144,459.1734832,83.85056172,471.0871611
42185,0.7269961199,0.5474547482,243.7047447,460.4663227,86.74776875,470.978932
42186,0.7273871648,0.5472127431,238.6456011,458.1149795,89.53947835,471.0601427
42187,0.7278406825,0.5459440908,245.6459805,461.3721596,92.23652863,470.8534859
42188,0.7282022648,0.5457750143,240.2556467,458.8666891,94.84783296,470.9452326
42189,0.7286058988,0.5448888512,243.3218373,460.2940887,97.38117544,470.8352838
42190,0.72894205,0.5447942561,237.4954368,457.5857325,99.84307003,470.9396362
42191,0.7293772025,0.5432269581,248.77108,462.8310631,102.2393613,470.6347668
42192,0.7296929103,0.543180769,242.7434938,460.0290711,104.5748743,470.7457609
42193,0.7300602687,0.5423259894,246.1626455,461.6204842,106.8541305,470.6309988
