sample_index,source_index,u,v,x,y,z
401,509,0.4638890406,-0.03455058876,653.2680664,312.7852783,988.0222778
402,511,0.466980667,-0.02327945533,653.5606689,307.9489441,991.4970703
403,513,0.4675881618,-0.03019122483,657.7844238,313.8575745,1000.952026
404,514,0.4636784678,-0.03657429637,657.6005859,316.2774353,999.1688843
405,515,0.4610911593,-0.04081652084,657.1710815,318.6790161,997.399231
406,516,0.465528925,-0.04397958109,654.4182129,319.3114014,990.0986938
407,519,0.4585318175,-0.1144695766,639.7115479,344.1723328,985.2902832
408,521,0.4576364813,-0.1021042943,644.319397,341.0865173,987.6063232
409,522,0.4587916463,-0.09271109625,646.4611206,339.3889465,988.8769531
410,523,0.447508021,-0.119746042,640.8579102,345.4844666,991.1384888
411,525,0.454889147,-0.09936694944,645.6106567,342.5456238,993.3632812
412,526,0.4501627152,-0.09710826501,647.8217163,340.9042358,994.6008301
413,527,0.4535082938,-0.09505299963,649.9104004,339.1570129,995.9155273
414,528,0.4434366186,-0.1372097746,634.328064,350.9725342,1000.916626
415,529,0.4440919912,-0.1204140902,639.1963501,347.9345398,996.2115479
416,531,0.4483649932,-0.1097450845,644.293335,345.4249573,998.1297607
417,532,0.4486783429,-0.1030583267,646.6896973,343.9675293,999.2363892
418,533,0.4499077062,-0.0963097957,648.9705811,342.3859558,1000.43335
419,534,0.4539948097,-0.09835530316,651.1258545,340.6880493,1001.715088
420,535,0.4545488988,-0.09067547204,653.144165,338.8799744,1003.076782
421,536,0.4571110227,-0.07773987326,655.0137329,336.9672852,1004.514465
422,537,0.4523105145,-0.082423908,651.8665161,337.3091736,997.3032227
423,538,0.453413942,-0.09472200829,648.4837646,337.595459,990.2174072
424,540,0.4622770422,-0.1086356292,641.1395264,338.0394897,976.4399414
425,541,0.4591278497,-0.1151615802,637.2302246,338.2226257,969.7637329
426,542,0.4644829205,-0.1238472507,633.1908569,338.4129333,963.2478027
427,543,0.4675501166,-0.09585259358,636.8285522,331.2351379,961.9370728
428,544,0.4669354568,-0.09709447213,639.0993042,332.9311523,967.0883789
429,545,0.4616157495,-0.09268375586,641.2078857,334.6008911,972.3590698
430,547,0.4610271328,-0.08204807606,648.6889648,334.078064,986.0400391
431,548,0.4548590667,-0.07862598296,652.1340942,333.7376709,993.0947876
432,549,0.4598437096,-0.07187272692,655.3363647,333.3319702,1000.283081
433,550,0.4541672509,-0.1189356741,630.8292236,333.4197693,954.3075562
434,551,0.4628272375,-0.1121649977,633.1206055,335.0480957,959.3310547
435,556,0.4576204369,-0.08756522908,650.3780518,335.7102966,991.6243896
436,557,0.4545090848,-0.0766804475,653.6790771,335.3656616,998.760376
437,558,0.4607677293,-0.06525205328,656.7216187,334.9563904,1006.023499
438,559,0.4581735005,-0.05784095189,656.460022,327.3457947,997.8510132
439,560,0.4587323854,-0.06138498951,654.5886841,325.6448364,992.2640381
440,561,0.4629738818,-0.05207835909,657.5429688,325.0759583,999.538147
441,562,0.4608274356,-0.04953225073,656.5142822,321.0480042,995.6533203
442,563,0.4622486537,-0.05197168301,658.4196777,322.7489624,1001.266907
443,564,0.4651416152,-0.0435579094,660.1237793,324.4205933,1006.940491
444,565,0.462885745,-0.04945912032,659.2375488,326.7498169,1005.202087
445,566,0.4580369168,-0.05854644332,660.8344116,332.2961731,1015.038818
446,567,0.4583278058,-0.05674754618,659.5934448,330.6656494,1009.237427
447,568,0.4610740283,-0.05708800169,658.1318359,329.0174866,1003.508545
448,569,0.4556542804,-0.0704267221,657.8864746,336.5613403,1011.847351
449,570,0.4542957927,-0.07768556201,656.1278076,338.5479431,1010.357849
450,571,0.4531011364,-0.08833844346,654.2009277,340.4275208,1008.946045
451,572,0.456146532,-0.09722857888,652.1199341,342.1933594,1007.616821
452,573,0.4546330227,-0.09945109389,649.8977661,343.8388367,1006.375122
453,574,0.4499832279,-0.1086077882,647.546814,345.3567505,1005.226257
454,576,0.4497077608,-0.1151955871,642.5032959,347.9724426,1003.234192
455,579,0.4450231191,-0.124016607,643.2098389,351.4209595,1022.379944
456,580,0.4574872006,-0.06966960809,661.1746216,337.6847229,1025.265381
457,581,0.4554589495,-0.08041869735,659.513916,339.7342529,1023.747437
458,582,0.4556733458,-0.06712439589,659.461731,334.4747925,1013.409485
459,583,0.4539694732,-0.06500582273,658.8206787,338.1520996,1017.755188
460,584,0.4565275929,-0.07162946343,657.0111084,340.1126099,1016.291016
461,585,0.4536358696,-0.08106360804,657.6533813,341.666748,1022.314331
462,586,0.4531768296,-0.0843907794,655.0266724,341.9570923,1014.911072
463,587,0.454908958,-0.09293611771,655.6112671,343.4735718,1020.972351
464,588,0.4522882605,-0.09361762372,652.8827515,343.6779175,1013.620911
465,589,0.4502756525,-0.08813052136,653.4042358,345.1463013,1019.727844
